,Postcode,Price,Type,Bedroom2,Bathroom,BuildingArea,YearBuilt,Distance,Suburb,CouncilArea,Regionname,avg_price
51,3042.0,895000.0,h,3.0,1.0,133.0,1975.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
52,3042.0,805000.0,h,3.0,1.0,105.0,1950.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
53,3042.0,752000.0,u,3.0,1.0,130.0,1993.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
54,3042.0,440000.0,u,2.0,1.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
55,3042.0,755000.0,h,3.0,2.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
56,3042.0,700000.0,t,3.0,2.0,133.0,2009.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
57,3042.0,830000.0,h,3.0,1.0,113.0,1960.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
58,3042.0,462500.0,u,2.0,1.0,,2003.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
59,3042.0,670000.0,h,3.0,2.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
60,3042.0,675000.0,h,2.0,1.0,100.0,1975.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
61,3042.0,1042000.0,h,3.0,2.0,174.0,1950.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
62,3042.0,910000.0,h,3.0,1.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
63,3042.0,773000.0,h,5.0,3.0,309.0,1980.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
64,3042.0,810000.0,h,3.0,3.0,192.0,1980.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
65,3042.0,715000.0,h,3.0,2.0,126.0,1995.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
66,3042.0,790000.0,h,3.0,1.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
67,3042.0,540000.0,t,2.0,2.0,101.0,2010.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
68,3042.0,825000.0,t,3.0,2.0,102.0,1960.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
69,3042.0,685000.0,h,3.0,1.0,113.0,1975.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
70,3042.0,805000.0,h,3.0,1.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
71,3042.0,510000.0,u,2.0,1.0,76.0,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
72,3042.0,612000.0,h,3.0,2.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
73,3042.0,662000.0,h,3.0,1.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
74,3042.0,978000.0,h,4.0,3.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
75,3042.0,720000.0,h,3.0,1.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
76,3042.0,765000.0,h,4.0,1.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
77,3042.0,900000.0,h,4.0,2.0,146.0,1975.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
78,3206.0,1275000.0,h,2.0,1.0,82.0,1900.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
79,3206.0,1455000.0,h,2.0,1.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
81,3206.0,1850000.0,h,3.0,2.0,133.0,1890.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
82,3206.0,1436000.0,h,2.0,1.0,81.0,1900.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
83,3206.0,1110000.0,h,1.0,1.0,,1900.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
84,3206.0,1550000.0,h,2.0,1.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
85,3206.0,2300000.0,h,4.0,2.0,180.0,1880.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
86,3206.0,1550000.0,t,3.0,2.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
87,3206.0,1800000.0,h,3.0,2.0,159.0,1996.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
88,3206.0,2120000.0,h,2.0,1.0,107.0,1900.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
89,3206.0,1800000.0,h,3.0,1.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
90,3206.0,1800000.0,h,3.0,2.0,122.0,1900.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
91,3206.0,1810000.0,h,2.0,1.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
93,3206.0,2100000.0,h,5.0,2.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
94,3206.0,1300000.0,h,3.0,1.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
95,3206.0,1370000.0,h,3.0,2.0,85.0,2000.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
96,3206.0,1000000.0,h,2.0,1.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
98,3206.0,1322500.0,h,2.0,1.0,98.0,1890.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
99,3206.0,1562500.0,h,2.0,1.0,83.0,1890.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
100,3206.0,2000000.0,h,3.0,2.0,147.0,1900.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
101,3206.0,1900000.0,h,3.0,1.0,,1900.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
104,3206.0,647000.0,u,2.0,1.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
105,3206.0,2100000.0,h,2.0,1.0,123.0,1900.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
106,3206.0,2000000.0,h,3.0,1.0,131.0,1890.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
107,3206.0,442500.0,u,1.0,1.0,34.0,1970.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
109,3206.0,1340000.0,h,2.0,1.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
110,3206.0,1801000.0,h,3.0,1.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
111,3206.0,1532000.0,h,3.0,3.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
113,3206.0,2140000.0,h,3.0,2.0,145.0,1880.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
114,3206.0,1750000.0,h,2.0,1.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
115,3206.0,980000.0,h,2.0,1.0,68.0,1890.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
116,3206.0,2030000.0,h,3.0,2.0,,,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
117,3206.0,1740000.0,h,3.0,2.0,134.0,1890.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
119,3206.0,985000.0,h,1.0,1.0,54.0,1900.0,3.3,Albert Park,Port Phillip,Southern Metropolitan,229.41803278688525
120,3078.0,2000000.0,h,3.0,2.0,263.0,1930.0,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
121,3078.0,1110000.0,h,3.0,2.0,,2013.0,6.4,Alphington,Yarra,Northern Metropolitan,111.20270270270271
122,3078.0,1492000.0,h,3.0,2.0,,,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
123,3078.0,1717500.0,h,4.0,2.0,203.0,1925.0,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
125,3078.0,525500.0,u,2.0,1.0,60.0,1960.0,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
126,3078.0,805000.0,t,2.0,2.0,140.0,2004.0,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
127,3078.0,465000.0,u,2.0,1.0,,,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
128,3078.0,2000000.0,h,3.0,3.0,,,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
129,3078.0,1540000.0,h,3.0,1.0,,,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
130,3078.0,820000.0,u,2.0,1.0,,,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
131,3078.0,1830000.0,h,4.0,2.0,112.0,1970.0,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
132,3078.0,2100000.0,h,4.0,2.0,271.0,2008.0,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
133,3078.0,865000.0,h,3.0,1.0,131.0,2010.0,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
134,3078.0,390000.0,u,2.0,1.0,60.0,1960.0,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
135,3078.0,650000.0,t,0.0,1.0,,,6.4,Alphington,Yarra,Northern Metropolitan,111.20270270270271
136,3078.0,512000.0,u,2.0,1.0,61.0,1965.0,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
137,3078.0,1165000.0,h,3.0,1.0,,,6.4,Alphington,Yarra,Northern Metropolitan,111.20270270270271
138,3078.0,1900000.0,h,4.0,2.0,272.0,1930.0,6.4,Alphington,Yarra,Northern Metropolitan,111.20270270270271
139,3078.0,1485000.0,h,3.0,0.0,,,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
140,3078.0,1950000.0,h,4.0,2.0,210.0,1920.0,6.4,Alphington,Darebin,Northern Metropolitan,111.20270270270271
141,3018.0,520000.0,h,3.0,2.0,242.0,2015.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
142,3018.0,1525000.0,h,5.0,3.0,268.0,2005.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
143,3018.0,720000.0,t,2.0,1.0,125.0,2013.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
144,3018.0,1120000.0,h,3.0,1.0,120.0,1930.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
145,3018.0,780000.0,h,4.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
146,3018.0,1780000.0,h,4.0,3.0,220.0,1962.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
147,3018.0,630000.0,u,2.0,1.0,94.0,1955.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
148,3018.0,406000.0,u,2.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
149,3018.0,660000.0,h,3.0,1.0,123.0,1955.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
150,3018.0,683500.0,h,3.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
151,3018.0,580000.0,u,2.0,1.0,93.0,1988.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
152,3018.0,1335000.0,h,3.0,1.0,22.0,1953.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
153,3018.0,800000.0,t,3.0,2.0,,1997.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
154,3018.0,510000.0,u,2.0,1.0,76.0,1990.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
155,3018.0,1070000.0,h,4.0,2.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
156,3018.0,425000.0,u,2.0,1.0,57.0,1980.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
157,3018.0,605000.0,u,3.0,2.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
158,3018.0,705000.0,t,3.0,2.0,152.0,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
159,3018.0,391000.0,u,2.0,1.0,65.0,1965.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
160,3018.0,440000.0,u,2.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
161,3018.0,845000.0,h,4.0,1.0,130.0,1950.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
162,3018.0,743000.0,t,3.0,2.0,176.0,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
163,3018.0,730000.0,u,3.0,2.0,141.0,2014.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
164,3018.0,635000.0,h,3.0,1.0,,1960.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
165,3018.0,620000.0,u,2.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
166,3018.0,447000.0,u,2.0,1.0,77.0,1990.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
167,3018.0,730000.0,u,3.0,2.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
168,3018.0,678000.0,h,3.0,1.0,87.0,1950.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
169,3018.0,580000.0,u,2.0,2.0,76.0,2013.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
170,3018.0,712000.0,h,3.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
171,3018.0,840000.0,h,3.0,2.0,136.0,1965.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
172,3018.0,980000.0,h,3.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
173,3018.0,605100.0,t,3.0,2.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
174,3018.0,880000.0,h,3.0,3.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
175,3018.0,577000.0,u,3.0,2.0,113.0,2007.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
176,3018.0,1030000.0,h,4.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
177,3018.0,605000.0,u,3.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
178,3018.0,753000.0,h,3.0,2.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
179,3018.0,857000.0,h,2.0,2.0,100.0,1950.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
180,3018.0,1500000.0,h,3.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
181,3018.0,730000.0,u,3.0,2.0,3.0,2014.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
182,3018.0,900000.0,h,3.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
183,3018.0,740000.0,h,3.0,1.0,,,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
184,3018.0,931000.0,h,4.0,2.0,,1970.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
185,3018.0,535600.0,h,2.0,1.0,91.0,1996.0,13.8,Altona,Hobsons Bay,Western Metropolitan,85.62162162162163
186,3025.0,1085000.0,h,5.0,3.0,251.0,1965.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
187,3025.0,781000.0,h,3.0,1.0,117.0,1970.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
188,3025.0,750000.0,h,3.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
189,3025.0,421000.0,t,2.0,1.0,77.0,2009.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
190,3025.0,1405000.0,h,3.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
191,3025.0,683000.0,h,3.0,1.0,167.0,1967.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
192,3025.0,623000.0,h,3.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
193,3025.0,720000.0,h,3.0,2.0,130.0,2012.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
194,3025.0,588000.0,h,3.0,1.0,118.0,1970.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
195,3025.0,710000.0,h,3.0,1.0,116.0,1960.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
196,3025.0,875000.0,h,3.0,1.0,169.0,1965.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
197,3025.0,700000.0,h,3.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
198,3025.0,640000.0,t,2.0,1.0,,1965.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
199,3025.0,650000.0,h,4.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
200,3025.0,675000.0,h,3.0,2.0,109.0,2012.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
201,3025.0,708000.0,h,3.0,1.0,97.0,1960.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
202,3025.0,965000.0,h,4.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
203,3025.0,680000.0,h,3.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
204,3025.0,770000.0,h,3.0,1.0,603.0,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
205,3025.0,923000.0,h,3.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
206,3025.0,693000.0,h,4.0,2.0,170.0,2008.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
207,3025.0,620000.0,h,5.0,2.0,100.0,2010.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
208,3025.0,728500.0,h,3.0,1.0,157.0,1960.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
209,3025.0,931000.0,h,3.0,2.0,160.0,1950.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
210,3025.0,988000.0,h,3.0,1.0,,2008.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
211,3025.0,590000.0,h,3.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
212,3025.0,610000.0,h,2.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
213,3025.0,815000.0,h,3.0,2.0,130.0,1960.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
214,3025.0,970000.0,h,4.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
215,3025.0,760000.0,h,4.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
216,3025.0,847500.0,t,4.0,3.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
217,3025.0,1200000.0,h,4.0,1.0,158.0,1960.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
218,3025.0,700000.0,h,3.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
219,3025.0,625000.0,h,3.0,1.0,,,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
220,3025.0,292000.0,u,2.0,1.0,70.0,1970.0,11.1,Altona North,Hobsons Bay,Western Metropolitan,113.76470588235294
221,3143.0,599000.0,u,2.0,1.0,76.0,1964.0,6.3,Armadale,Stonnington,Southern Metropolitan,192.46376811594203
222,3143.0,550000.0,u,2.0,1.0,,,6.3,Armadale,Stonnington,Southern Metropolitan,192.46376811594203
223,3143.0,995000.0,u,3.0,2.0,100.0,1998.0,6.3,Armadale,Stonnington,Southern Metropolitan,192.46376811594203
224,3143.0,1205000.0,t,3.0,2.0,105.0,2000.0,6.3,Armadale,Stonnington,Southern Metropolitan,192.46376811594203
225,3143.0,1939000.0,h,3.0,2.0,150.0,1889.0,6.3,Armadale,Stonnington,Southern Metropolitan,192.46376811594203
226,3143.0,421500.0,u,1.0,1.0,,,6.3,Armadale,Stonnington,Southern Metropolitan,192.46376811594203
227,3143.0,1870000.0,h,3.0,1.0,116.0,1888.0,6.3,Armadale,Stonnington,Southern Metropolitan,192.46376811594203
228,3143.0,678000.0,u,2.0,1.0,,,6.3,Armadale,Stonnington,Southern Metropolitan,192.46376811594203
229,3143.0,1918000.0,t,3.0,2.0,165.0,1995.0,6.3,Armadale,Stonnington,Southern Metropolitan,192.46376811594203
